Samples,Jn Estimate,Jn Error Rate,Kn Estimate,Kn Error Rate
1,0.25,0.75,12,-9
2,0.47893,0.52107,8.11906,-5.11906
3,0.637626,0.362374,6.45981,-3.45981
4,0.727545,0.272455,5.59689,-2.59689
5,0.782023,0.217977,5.07755,-2.07755
6,0.818353,0.181647,4.73129,-1.73129
7,0.844302,0.155698,4.48396,-1.48396
8,0.863765,0.136235,4.29847,-1.29847
9,0.878902,0.121098,4.15419,-1.15419
10,0.891012,0.108988,4.03877,-1.03877
11,0.90092,0.0990803,3.94434,-0.944339
12,0.909176,0.0908236,3.86564,-0.865644
13,0.916163,0.0838372,3.79906,-0.799056
14,0.922151,0.0778488,3.74198,-0.741981
15,0.927341,0.0726589,3.69252,-0.692516
16,0.931882,0.0681177,3.64923,-0.649233
17,0.935889,0.0641108,3.61104,-0.611043
18,0.939451,0.0605491,3.5771,-0.577096
19,0.942638,0.0573623,3.54672,-0.546723
20,0.945506,0.0544942,3.51939,-0.519387
21,0.948101,0.0518992,3.49465,-0.494654
22,0.95046,0.0495402,3.47217,-0.47217
23,0.952614,0.0473862,3.45164,-0.451641
24,0.954588,0.0454118,3.43282,-0.432822
25,0.956405,0.0435953,3.41551,-0.415509
26,0.958081,0.0419186,3.39953,-0.399528
27,0.959634,0.0403661,3.38473,-0.384731
28,0.961076,0.0389244,3.37099,-0.37099
29,0.962418,0.0375822,3.3582,-0.358198
30,0.963671,0.0363295,3.34626,-0.346258
31,0.964842,0.0351575,3.33509,-0.335088
32,0.965941,0.0340589,3.32462,-0.324617
33,0.966973,0.0330268,3.31478,-0.31478
34,0.967945,0.0320554,3.30552,-0.305522
35,0.96886,0.0311395,3.29679,-0.296792
36,0.969725,0.0302745,3.28855,-0.288548
37,0.970544,0.0294563,3.28075,-0.28075
38,0.971319,0.0286811,3.27336,-0.273361
39,0.972054,0.0279457,3.26635,-0.266352
40,0.972753,0.0272471,3.25969,-0.259693
41,0.973417,0.0265825,3.25336,-0.253359
42,0.97405,0.0259496,3.24733,-0.247327
43,0.974654,0.0253461,3.24158,-0.241575
44,0.97523,0.0247701,3.23608,-0.236085
45,0.97578,0.0242196,3.23084,-0.230839
46,0.976307,0.0236931,3.22582,-0.22582
47,0.976811,0.023189,3.22102,-0.221016
48,0.977294,0.0227059,3.21641,-0.216411
49,0.977757,0.0222425,3.21199,-0.211995
50,0.978202,0.0217977,3.20775,-0.207755
51,0.97863,0.0213703,3.20368,-0.203681
52,0.979041,0.0209593,3.19976,-0.199764
53,0.979436,0.0205638,3.19599,-0.195995
54,0.979817,0.020183,3.19237,-0.192365
55,0.980184,0.0198161,3.18887,-0.188868
56,0.980538,0.0194622,3.1855,-0.185495
57,0.980879,0.0191208,3.18224,-0.182241
58,0.981209,0.0187911,3.1791,-0.179099
59,0.981527,0.0184726,3.17606,-0.176063
60,0.981835,0.0181647,3.17313,-0.173129
61,0.982133,0.0178669,3.17029,-0.170291
62,0.982421,0.0175788,3.16754,-0.167544
63,0.9827,0.0172997,3.16488,-0.164885
64,0.982971,0.0170294,3.16231,-0.162308
65,0.983233,0.0167674,3.15981,-0.159811
66,0.983487,0.0165134,3.15739,-0.15739
67,0.983733,0.0162669,3.15504,-0.155041
68,0.983972,0.0160277,3.15276,-0.152761
